"","res_id","wave","east","hate_violence_means","hate_pol_message","hate_prevent_settlement","hate_polcondemn","hate_justified","MateComp.cont","JobComp.cont","LifeSatis.cont","pop_15_44_muni_gendergap_2015","age","singdivsep","age_group","gender","state","citizenship","marital","religion","eduyrs","occupation","income","household_size","self_econ","distance_ref","settle_ref","lrscale","afd","muslim_ind","afd_ind","contact_ind","refugee_ind","list","treatment_list","outcome_list","ref_integrating","ref_citizenship","ref_reduce","ref_moredone","ref_cultgiveup","ref_economy","ref_crime","ref_terror","ref_loc_services","ref_loc_economy","ref_loc_crime","ref_loc_culture","ref_loc_islam","ref_loc_schools","ref_loc_housing","ref_loc_wayoflife","women_role"
"382","414244647",4,0,2,1,1,2,1,1,2,5,NA,42,1,"40-49","Female","Hessen",1,"Single, without partner","Protestant",20,"Employee in low / medium position","2,500 to below 3,000 <80>","2","5","Don't know","1 <96> 49",2,0,0.5,0.333333333333333,0,0.75,NA,NA,NA,2,3,3,3,3,2,3,4,3,2,2,2,2,3,3,2,1
"383","414972045",4,0,2,1,2,2,1,2,2,5,NA,59,1,"50-59","Male","Baden-W<fc>rttemberg",1,"Divorced / separated","No, I don't feel close to any religion",13,"Employee in low / medium position","4,000 to below 4,500 <80>","1","5","6-10 kilometers","50 <96> 249",5,1,0.125,0,0,0.125,NA,NA,NA,3,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3
"384","417575743",4,0,1,1,1,2,1,2,2,3,NA,48,0,"40-49","Female","Bayern",1,"With partner, not living together","Christian, but not close to a particular religious community",18,"Employee in high position","No answer","1","7","3-5 kilometers","250 <96> 499",5,0,0.75,0.666666666666667,0,0.875,NA,NA,NA,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2
"385","487774340",4,0,3,4,2,2,4,3,4,9,NA,60,0,"50-59","Male","Niedersachsen",1,"Widowed","No, I don't feel close to any religion",19,"Self-employed / freelancer","No answer","4","5","6-10 kilometers","50 <96> 249",6,0,1,1,0.833333333333333,1,NA,NA,NA,3,3,4,4,4,3,4,4,4,4,3,4,3,2,2,1,3
"386","421664441",4,0,1,2,2,2,2,2,2,5,NA,46,0,"40-49","Female","Schleswig-Holstein",1,"With partner, living together","No, I don't feel close to any religion",12,"Skilled worker","1,000 to below 1,500 <80>","2","5","Less than 3 kilometer","1 <96> 49",5,0,0.75,0,0.333333333333333,0.375,NA,NA,NA,2,3,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2
"387","423387742",4,0,1,1,1,1,1,2,2,3,NA,64,1,"60 and older","Male","Rheinland-Pfalz",1,"Divorced / separated","Christian, but not close to a particular religious community",10,"Retired","1,500 to below 2,000 <80>","1","5","Less than 3 kilometer","500 <96> 999",5,0,0.625,0.333333333333333,0.333333333333333,0.875,NA,NA,NA,4,1,4,4,3,3,4,4,4,3,2,3,3,3,4,3,3
"388","423927040",4,0,2,2,2,2,2,1,2,6,NA,52,0,"50-59","Male","Nordrhein-Westfalen",1,"Married","Roman Catholic",16,"Employee in low / medium position","2,500 to below 3,000 <80>","5","5","6-10 kilometers","50 <96> 249",5,1,1,0.333333333333333,0.166666666666667,1,NA,NA,NA,3,3,4,3,3,4,3,4,3,3,3,2,3,3,3,3,2
"389","427044744",4,0,1,1,1,1,1,3,4,8,NA,61,1,"60 and older","Female","Berlin",1,"Single, without partner","Protestant",15,"Self-employed / freelancer","1,000 to below 1,500 <80>","1","3","3-5 kilometers","1000 and more",4,0,1,0,0,1,NA,NA,NA,3,3,4,4,3,3,3,3,3,3,3,2,3,3,3,3,1
"390","497638346",4,0,2,2,1,2,2,2,2,8,NA,68,1,"60 and older","Female","Nordrhein-Westfalen",1,"Divorced / separated","Roman Catholic",14,"Retired","500 to below 1,000 <80>","1","5","11-20 kilometers","250 <96> 499",5,0,0.125,0,0.333333333333333,0,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
"391","464609542",4,0,3,1,1,1,2,1,1,2,NA,68,0,"60 and older","Male","Niedersachsen",1,"With partner, living together","No, I don't feel close to any religion",14,"Retired","1,500 to below 2,000 <80>","2","6","3-5 kilometers","1 <96> 49",4,2,0.875,0.333333333333333,0.333333333333333,0.5,NA,NA,NA,2,1,3,2,3,1,3,3,2,2,2,3,3,3,3,2,2
"392","433387843",4,0,4,4,4,3,4,4,4,5,NA,52,0,"50-59","Male","Niedersachsen",1,"With partner, living together","No, I don't feel close to any religion",13,"Employee in high position","4,000 to below 4,500 <80>","3","6","11-20 kilometers","250 <96> 499",8,80,1,1,0.5,0.875,NA,NA,NA,4,4,4,1,4,4,4,4,4,4,4,4,4,1,3,4,3
"393","433497447",4,1,2,4,3,2,3,2,3,4,NA,34,0,"30-39","Female","Sachsen",1,"With partner, living together","No, I don't feel close to any religion",12,"Employee in high position","2,500 to below 3,000 <80>","4","9","6-10 kilometers","50 <96> 249",7,70,0.625,0.666666666666667,0,0.375,NA,NA,NA,2,2,2,2,4,1,3,3,3,2,4,1,3,3,3,3,4
"394","441770849",4,0,3,1,1,2,1,1,1,7,NA,26,1,"18-29","Male","Nordrhein-Westfalen",1,"Single, without partner","No, I don't feel close to any religion",18,"Unskilled worker","2,000 to below 2,500 <80>","1","7","Less than 3 kilometer","500 <96> 999",4,10,0.375,0,0,0.5,NA,NA,NA,3,3,3,1,3,2,2,2,2,2,3,2,3,2,1,2,1
"395","441920547",4,0,2,2,2,1,2,2,3,5,NA,25,0,"18-29","Male","Nordrhein-Westfalen",1,"Married","No, I don't feel close to any religion",11,"Unskilled worker","2,500 to below 3,000 <80>","4","5","Less than 3 kilometer","250 <96> 499",9,88,1,1,0.333333333333333,0.875,NA,NA,NA,3,2,4,4,3,4,3,4,3,3,3,3,2,3,4,3,3
"396","401176342",4,0,2,1,1,2,1,2,2,6,NA,37,1,"30-39","Male","Baden-W<fc>rttemberg",1,"Single, without partner","Other Christian",25,"Self-employed / freelancer","4,000 to below 4,500 <80>","4","6","More than 50 kilometer","1 <96> 49",4,0,0.875,0.666666666666667,0,0.375,NA,NA,NA,2,2,2,3,2,2,3,3,3,2,1,2,1,3,2,1,3
"397","401610542",4,0,1,1,1,1,1,1,1,6,NA,22,1,"18-29","Male","Rheinland-Pfalz",1,"Single, without partner","No, I don't feel close to any religion",14,"In schooling / vocational training, student","500 to below 1,000 <80>","1","4","6-10 kilometers","There are no refugees in my town",2,20,0.25,0,0.333333333333333,0.625,NA,NA,NA,3,2,3,1,4,3,3,1,3,3,2,3,3,4,4,4,1
"398","437755041",4,0,2,3,2,4,2,2,4,3,NA,52,0,"50-59","Female","Hessen",1,"Married","No, I don't feel close to any religion",15,"Employee in low / medium position","2,000 to below 2,500 <80>","2","4","Don't know","500 <96> 999",5,63,1,1,0.666666666666667,0.75,NA,NA,NA,4,2,1,4,3,4,3,4,4,4,4,4,3,4,4,4,3
"677","403487446",4,1,1,1,1,2,1,2,1,8,NA,51,0,"50-59","Male","Sachsen",1,"Married","No, I don't feel close to any religion",18,"Employee in low / medium position","3,500 to below 4,000 <80>","5","6","3-5 kilometers","50 <96> 249",3,0,0.5,0.333333333333333,0.333333333333333,0.75,NA,NA,NA,4,4,3,2,3,1,3,4,4,2,3,2,1,3,3,2,2
"678","481466641",4,0,1,2,1,1,1,2,3,9,NA,67,0,"60 and older","Female","Niedersachsen",1,"Widowed","Protestant",12,"Skilled worker","1,500 to below 2,000 <80>","2","8","21-50 kilometers","1 <96> 49",5,0,0.75,0.333333333333333,0.666666666666667,0.75,NA,NA,NA,3,2,3,4,3,2,3,4,3,3,3,3,3,2,3,2,2
"679","407012243",4,1,2,1,1,2,1,1,2,9,NA,43,1,"40-49","Female","Th<fc>ringen",1,"Single, without partner","No, I don't feel close to any religion",14,"Employee in low / medium position","1,000 to below 1,500 <80>","1","4","Don't know","250 <96> 499",3,0,0.5,0,0.333333333333333,0.5,NA,NA,NA,2,3,1,3,2,2,3,3,4,2,3,1,3,4,2,2,1
"680","487669446",4,1,2,3,3,3,2,3,2,7,NA,38,0,"30-39","Male","Sachsen-Anhalt",1,"Married","No, I don't feel close to any religion",13,"Skilled worker","2,500 to below 3,000 <80>","4","7","21-50 kilometers","50 <96> 249",7,50,0.875,1,0.333333333333333,0.875,NA,NA,NA,3,3,4,2,4,3,4,4,3,3,4,3,2,4,3,3,4
"681","477386645",4,0,1,1,1,4,1,1,4,3,NA,27,1,"18-29","Female","Niedersachsen",1,"Single, without partner","No, I don't feel close to any religion",13,"In schooling / vocational training, student","No answer","3","6","11-20 kilometers","500 <96> 999",5,0,0.875,0.666666666666667,0.5,0.875,NA,NA,NA,3,2,4,4,3,4,3,3,4,3,4,3,4,4,4,4,3
"682","433308141",4,0,1,1,1,1,1,2,2,7,NA,65,1,"60 and older","Female","Hamburg",1,"Divorced / separated","Eastern religion (Buddhism, Hinduism, Sikhism, Shinto, Tao, etc.)",12,"Retired","500 to below 1,000 <80>","1","7","6-10 kilometers","250 <96> 499",2,0,0.375,0.333333333333333,0.333333333333333,0.25,NA,NA,NA,1,1,3,1,3,1,2,2,2,2,2,1,2,3,3,3,1
"683","411351345",4,0,1,2,1,2,2,1,2,8,NA,44,1,"40-49","Female","Baden-W<fc>rttemberg",1,"Divorced / separated","Christian, but not close to a particular religious community",13,"Employee in low / medium position","2,000 to below 2,500 <80>","3","7","21-50 kilometers","1 <96> 49",5,0,0,0,0,0.25,NA,NA,NA,2,2,2,1,3,1,2,3,2,2,1,2,1,3,1,1,2
"684","413600945",4,0,2,1,1,3,1,2,2,6,NA,47,0,"40-49","Female","Nordrhein-Westfalen",1,"Married","Christian, but not close to a particular religious community",15,"Homemaker","2,000 to below 2,500 <80>","2","5","Less than 3 kilometer","250 <96> 499",6,50,0.875,1,0.333333333333333,1,NA,NA,NA,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2
"685","487814741",4,0,1,1,1,1,1,1,2,8,NA,30,1,"18-29","Female","Hessen",0,"Single, without partner","Roman Catholic",10,"Employee in low / medium position","1,000 to below 1,500 <80>","2","4","More than 50 kilometer","1 <96> 49",2,5,0.125,0,0,0,NA,NA,NA,2,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1
"686","464272440",4,0,1,1,1,3,1,1,3,6,NA,35,1,"30-39","Female","Schleswig-Holstein",1,"Single, without partner","Protestant",16,"Senior civil servant <96> highest level","2,000 to below 2,500 <80>","1","6","11-20 kilometers","500 <96> 999",8,50,0.875,0.666666666666667,0.333333333333333,1,NA,NA,NA,3,3,4,3,3,4,4,4,4,4,3,3,3,4,4,3,2
"687","433297245",4,0,1,1,1,2,2,2,3,9,NA,50,0,"40-49","Female","Niedersachsen",1,"With partner, living together","No, I don't feel close to any religion",16,"Employee in high position","4,000 to below 4,500 <80>","3","7","Don't know","50 <96> 249",2,0,1,0,0.5,1,NA,NA,NA,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3
"688","463907245",4,1,1,1,1,1,1,1,1,4,NA,49,0,"40-49","Female","Mecklenburg-Vorpommern",1,"Married","Protestant",13,"Employee in low / medium position","No answer","4","4","3-5 kilometers","50 <96> 249",5,0,0.375,0,0.333333333333333,0.375,NA,NA,NA,2,3,2,2,2,2,3,3,3,2,2,2,2,3,2,3,2
"689","463213746",4,0,2,1,1,3,1,2,2,3,NA,44,1,"40-49","Male","Hamburg",1,"Single, without partner","No, I don't feel close to any religion",15,"Skilled worker","1,000 to below 1,500 <80>","1","5","Less than 3 kilometer","500 <96> 999",6,1,0.5,0.666666666666667,0,1,NA,NA,NA,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,2,2
"690","497999341",4,1,1,1,1,2,1,2,3,5,NA,66,0,"60 and older","Male","Brandenburg",1,"With partner, not living together","No, I don't feel close to any religion",14,"Retired","1,000 to below 1,500 <80>","1","3","6-10 kilometers","50 <96> 249",3,2,0.875,0.666666666666667,0,1,NA,NA,NA,4,3,4,4,3,3,3,3,3,3,3,3,3,4,3,4,2
"691","417838347",4,0,2,3,3,2,3,3,4,8,NA,45,0,"40-49","Male","Baden-W<fc>rttemberg",1,"With partner, living together","Roman Catholic",15,"Self-employed / freelancer","2,500 to below 3,000 <80>","4","5","Less than 3 kilometer","50 <96> 249",5,50,1,1,0.666666666666667,1,NA,NA,NA,4,4,4,4,4,4,4,4,1,4,1,3,1,1,2,1,3
"761","404768345",4,0,4,4,4,1,4,1,4,3,NA,62,0,"60 and older","Male","Bayern",1,"Married","Roman Catholic",12,"Retired","1,000 to below 1,500 <80>","2","5","21-50 kilometers","50 <96> 249",10,100,1,1,0.333333333333333,1,NA,NA,NA,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
"762","407379044",4,0,2,1,1,2,1,2,2,8,NA,35,0,"30-39","Male","Baden-W<fc>rttemberg",1,"With partner, not living together","No, I don't feel close to any religion",22,"Employee in low / medium position","3,000 to below 3,500 <80>","1","8","3-5 kilometers","50 <96> 249",4,0,0.875,0.666666666666667,0,0.625,NA,NA,NA,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2
"763","411874243",4,0,1,2,1,1,2,1,2,8,NA,61,1,"60 and older","Male","Niedersachsen",1,"Divorced / separated","No, I don't feel close to any religion",14,"Retired","No answer","1","7","21-50 kilometers","50 <96> 249",7,0,0.375,1,0.333333333333333,0.625,NA,NA,NA,3,2,3,2,3,3,3,2,3,3,2,4,2,4,1,2,1
"764","414143447",4,0,3,3,3,4,3,3,4,6,NA,54,0,"50-59","Male","Baden-W<fc>rttemberg",1,"Married","No, I don't feel close to any religion",12,"Employee in low / medium position","3,000 to below 3,500 <80>","3","7","6-10 kilometers","50 <96> 249",5,49,1,1,0.333333333333333,1,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
"765","457512847",4,0,2,1,1,2,1,2,2,9,NA,65,0,"60 and older","Female","Berlin",1,"Married","Protestant",12,"Homemaker","3,500 to below 4,000 <80>","3","6","Less than 3 kilometer","250 <96> 499",5,0,0.375,0.666666666666667,0.5,0.625,NA,NA,NA,2,2,3,4,3,3,3,2,2,3,3,2,2,3,3,2,2
"766","423266348",4,0,3,2,2,1,2,2,1,8,NA,31,0,"30-39","Male","Nordrhein-Westfalen",1,"With partner, living together","No, I don't feel close to any religion",20,"Senior civil servant <96> highest level","5,000 or more <80>","2","8","More than 50 kilometer","50 <96> 249",5,3,0.25,0,0,0.5,NA,NA,NA,3,1,3,2,3,2,3,2,3,2,2,1,2,4,2,3,2
"767","467794642",4,0,2,2,1,2,2,2,2,8,NA,33,0,"30-39","Male","Baden-W<fc>rttemberg",1,"With partner, not living together","Protestant",19,"Skilled worker","4,500 to below 5,000 <80>","3","6","Less than 3 kilometer","1 <96> 49",7,17,0.5,0.333333333333333,0.333333333333333,1,NA,NA,NA,3,3,4,4,3,3,4,3,2,4,2,3,2,3,2,2,1
"768","434369749",4,0,1,1,1,1,1,1,1,2,NA,65,1,"60 and older","Female","Nordrhein-Westfalen",1,"Single, without partner","No, I don't feel close to any religion",17,"Self-employed / freelancer","2,000 to below 2,500 <80>","1","5","6-10 kilometers","50 <96> 249",2,0,0.25,0,0,0.125,NA,NA,NA,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,1
"769","483387744",4,0,1,1,1,1,1,2,3,8,NA,57,1,"50-59","Male","Bayern",1,"Single, without partner","Protestant",17,"Retired","2,500 to below 3,000 <80>","1","6","Less than 3 kilometer","1000 and more",2,1,0.375,0,0.666666666666667,0.25,NA,NA,NA,2,1,2,3,2,1,3,2,2,2,2,1,2,4,3,3,1
"770","471731146",4,1,2,2,2,3,2,2,2,5,NA,55,0,"50-59","Male","Sachsen-Anhalt",1,"Widowed","No, I don't feel close to any religion",12,"Skilled worker","2,000 to below 2,500 <80>","2","6","3-5 kilometers","500 <96> 999",6,90,1,1,0.5,1,NA,NA,NA,4,3,4,3,3,4,3,4,3,4,3,4,3,3,3,3,2
"771","473487846",4,0,4,3,3,3,2,3,4,7,NA,62,1,"60 and older","Male","Bayern",1,"Single, without partner","No, I don't feel close to any religion",14,"Retired","1,500 to below 2,000 <80>","2","6","21-50 kilometers","50 <96> 249",8,60,0.875,1,0,1,NA,NA,NA,3,3,4,4,3,3,4,4,4,3,3,3,3,3,4,3,4
"772","437589644",4,0,3,3,4,2,3,3,4,10,NA,26,0,"18-29","Male","Baden-W<fc>rttemberg",1,"With partner, not living together","Roman Catholic",13,"In schooling / vocational training, student","1,500 to below 2,000 <80>","4","7","3-5 kilometers","1 <96> 49",8,21,0.25,0.333333333333333,0,0.625,NA,NA,NA,2,1,4,4,4,2,4,4,4,2,3,2,3,3,3,4,3
"773","403291747",4,0,1,1,1,3,1,1,1,8,NA,56,0,"50-59","Male","Berlin",1,"Married","No, I don't feel close to any religion",15,"Self-employed / freelancer","3,000 to below 3,500 <80>","2","5","Less than 3 kilometer","1000 and more",5,0,0.5,0.333333333333333,0,0.375,NA,NA,NA,2,1,3,1,1,2,4,4,3,2,4,2,3,3,4,2,1
"774","437662747",4,0,3,2,3,2,3,2,4,3,NA,40,0,"30-39","Female","Hessen",1,"With partner, living together","No, I don't feel close to any religion",10,"Homemaker","1,000 to below 1,500 <80>","2","4","21-50 kilometers","50 <96> 249",8,5,0.875,0.666666666666667,0.333333333333333,0.875,NA,NA,NA,3,4,4,4,2,3,4,4,3,3,2,3,3,1,4,2,1
